thickness_group,number_of_glomeruli,mean_thickness_nm,median_thickness_nm,std_thickness_nm,minimum_thickness_nm,maximum_thickness_nm
Thin,86,126.99910498489005,127.23403671376228,17.12229878519608,82.36909803576626,153.25446295204586
Intermediate,85,187.02484616730575,190.09729798900352,20.914479126388677,153.2713872802096,227.70903003955195
Thick,86,374.65872552399367,321.0751212174652,166.48269075122278,229.0401353632153,1340.0019600302828
