Statistic,Value
Number of glomeruli,257.0
Mean thickness (nm),229.7264021322373
Median thickness (nm),190.09729798900352
Standard deviation (nm),143.70334330852143
Minimum thickness (nm),82.36909803576626
Maximum thickness (nm),1340.0019600302828
