,PC1,PC2,PC3,PC4,PC5,PC6
mean_thickness_nm,0.5012795125377896,0.012683424178163072,0.03969900213080168,0.008094132086481038,-0.062377697987686095,0.8619892563775579
median_thickness_nm,0.5009091978744902,-0.00039092652220690076,0.047950575722243025,0.7078182334162374,-0.3725397334989838,-0.3271055798318308
std_thickness_nm,0.03915040789723889,0.707411738651391,-0.677157059714987,0.10976254500492805,0.16542752089351012,0.008950592322175283
min_thickness_nm,0.49639796066289393,-0.09157848034812928,0.12473615305879676,-0.035545367952346196,0.8209364104086491,-0.23333082863058333
max_thickness_nm,0.49440407770362826,0.12619639714640088,-0.05305600016460899,-0.696783563699154,-0.39479594773021787,-0.30895462961142406
number_of_membrane_components,-0.0736867963466691,0.6892716889806096,0.7205615872099367,0.010450328184557132,0.012508989185880367,0.0003311825206075078
